p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.050000,4,18,0,40,2926,bmps,16,-0.001641235956552833,16.604,1
0.050000,4,18,2,40,2002926,bmps,16,-0.02290729765492818,16.701,1
0.050000,4,18,1,40,1002926,bmps,16,0.008701193482798342,16.718,1
0.110000,3,14,2,40,2003426,exact,,0.01901088238394353,17.268,1
0.110000,3,14,0,40,3426,exact,,0.00274606432742317,17.472,1
0.110000,4,18,1,40,1003526,bmps,16,0.01386405835532258,17.473,1
0.110000,3,14,1,40,1003426,exact,,-0.007768192556433728,17.576,1
0.050000,3,14,0,40,2826,exact,,-0.008012064751134407,17.592,1
0.110000,4,18,2,40,2003526,bmps,16,0.01299144513649502,18.179,1
0.110000,4,18,0,40,3526,bmps,16,0.01158859622330333,18.269,1
0.050000,3,14,2,40,2002826,exact,,-0.01880548684771277,19.267,1
0.050000,3,14,1,40,1002826,exact,,-0.1023124558398899,19.386,1
0.050000,5,22,2,40,2003026,bmps,16,-0.003280741187589164,24.066,1
0.050000,5,22,0,40,3026,bmps,16,-0.01571742322238397,28.571,1
0.050000,5,22,1,40,1003026,bmps,16,-0.001802721654963868,28.616,1
0.110000,5,22,1,40,1003626,bmps,16,0.08120715798933312,29.306,1
0.110000,5,22,0,40,3626,bmps,16,-0.16318640458214,29.501,1
0.110000,5,22,2,40,2003626,bmps,16,-0.08417103881488934,30.177,1
0.050000,6,26,2,40,2003126,bmps,16,-0.2754492787356979,39.816,1
0.050000,6,26,1,40,1003126,bmps,16,0.01887858218751877,39.966,1
0.110000,6,26,0,40,3726,bmps,16,-0.08150202430582254,41.672,1
0.050000,6,26,0,40,3126,bmps,16,-0.004437473506338741,42.977,1
0.110000,6,26,2,40,2003726,bmps,16,-0.07268213464824487,44.400,1
0.110000,6,26,1,40,1003726,bmps,16,0.041244478881004,47.674,1
0.050000,7,30,1,40,1003226,bmps,16,-0.08659784763732289,57.167,1
0.050000,7,30,2,40,2003226,bmps,16,0.024669445926531,58.074,1
0.050000,7,30,0,40,3226,bmps,16,-0.03755394559655088,58.174,1
0.050000,8,34,1,40,1003326,bmps,16,0.1387388579650486,74.604,1
0.150000,3,14,0,40,3826,exact,,0.002117808394568143,17.598,1
0.150000,3,14,2,40,2003826,exact,,-0.00314623618494565,17.508,1
0.150000,3,14,1,40,1003826,exact,,0.01411681826435984,17.718,1
0.110000,7,30,2,40,2003826,bmps,16,-0.1220877532881963,61.350,1
0.110000,7,30,1,40,1003826,bmps,16,-0.05251920268103068,61.580,1
0.050000,8,34,2,40,2003326,bmps,16,-0.02591664204662898,78.675,1
0.050000,8,34,0,40,3326,bmps,16,-0.01645706292746887,79.169,1
0.110000,7,30,0,40,3826,bmps,16,-0.12144536570756,69.367,1
0.150000,4,18,1,40,1003926,bmps,16,0.008639054052734884,18.243,1
0.150000,4,18,0,40,3926,bmps,16,0.004529746777086707,18.703,1
0.150000,4,18,2,40,2003926,bmps,16,-0.01889963257068707,18.702,1
0.110000,8,34,2,40,2003926,bmps,16,-0.09438014966462932,82.013,1
0.110000,8,34,0,40,3926,bmps,16,-0.1027316475619236,82.517,1
0.110000,8,34,1,40,1003926,bmps,16,0.2521628927034376,82.519,1
0.050000,9,38,2,40,2003426,bmps,16,0.04814948513231983,100.001,1
0.050000,9,38,1,40,1003426,bmps,16,-0.005862302332883765,100.574,1
0.050000,9,38,0,40,3426,bmps,16,-0.005053066581019631,100.787,1
0.150000,5,22,0,40,4026,bmps,16,-0.02396945415203113,30.191,1
0.150000,5,22,2,40,2004026,bmps,16,0.02078991894264064,30.302,1
0.150000,5,22,1,40,1004026,bmps,16,-0.003073047628264902,30.577,1
0.050000,10,42,0,40,3526,bmps,16,0.293148768795609,121.266,1
0.110000,9,38,2,40,2004026,bmps,16,-0.0398052677161731,103.312,1
0.110000,9,38,1,40,1004026,bmps,16,0.2805565082762911,103.925,1
0.110000,9,38,0,40,4026,bmps,16,-0.2944830006625023,104.009,1
0.150000,6,26,1,40,1004126,bmps,16,-0.003863519691140738,44.524,1
0.150000,6,26,0,40,4126,bmps,16,-0.05418319002469581,45.797,1
0.050000,10,42,2,40,2003526,bmps,16,-0.1804516424275482,125.776,1
0.050000,10,42,1,40,1003526,bmps,16,0.02297935080067077,126.593,1
0.150000,6,26,2,40,2004126,bmps,16,-0.0546993795333556,50.944,1
0.050000,11,46,1,40,1003626,bmps,16,0.03170783036529425,143.995,1
0.050000,11,46,0,40,3626,bmps,16,-0.04764438735475395,150.564,1
0.110000,10,42,0,40,4126,bmps,16,0.01006250312223117,132.909,1
0.050000,11,46,2,40,2003626,bmps,16,-0.05881176344428839,154.104,1
0.150000,7,30,0,40,4226,bmps,16,-0.1242465798719081,63.005,1
0.150000,7,30,1,40,1004226,bmps,16,-0.08078658691067134,63.604,1
0.150000,7,30,2,40,2004226,bmps,16,-0.06799364318114839,63.087,1
0.110000,10,42,1,40,1004126,bmps,16,-0.1086085590347972,142.528,1
0.110000,10,42,2,40,2004126,bmps,16,-0.2457838649876274,146.297,1
0.110000,11,46,0,40,4226,bmps,16,0.439666835742,151.541,1
0.150000,8,34,0,40,4326,bmps,16,-0.1456458865817019,79.223,1
0.150000,8,34,1,40,1004326,bmps,16,-0.1060094595592595,80.977,1
0.150000,8,34,2,40,2004326,bmps,16,-0.08763679318530748,80.976,1
0.050000,12,50,2,40,2003726,bmps,16,0.06846801982104685,182.628,1
0.110000,11,46,1,40,1004226,bmps,16,0.02733441546424079,154.230,1
0.050000,12,50,1,40,1003726,bmps,16,-0.07771853497338696,183.272,1
0.110000,11,46,2,40,2004226,bmps,16,0.06225460895845864,155.853,1
0.050000,12,50,0,40,3726,bmps,16,0.03693908907387496,184.488,1
0.150000,9,38,1,40,1004426,bmps,16,-0.1295685569990631,90.245,1
0.150000,9,38,0,40,4426,bmps,16,-0.1968084498615575,94.334,1
0.150000,9,38,2,40,2004426,bmps,16,-0.1649248176983498,93.629,1
0.110000,12,50,0,40,4326,bmps,16,0.2775043932216562,166.591,1
0.050000,13,54,2,40,2003826,bmps,16,-0.1716348086457967,198.514,1
0.050000,13,54,1,40,1003826,bmps,16,-0.02062423234087413,198.935,1
0.110000,12,50,2,40,2004326,bmps,16,-1.107365260647661,168.961,1
0.110000,12,50,1,40,1004326,bmps,16,-0.2259445775715577,169.801,1
0.050000,13,54,0,40,3826,bmps,16,-0.06116085227378826,199.607,1
0.150000,10,42,0,40,4526,bmps,16,-0.2567662461653626,97.190,1
0.150000,10,42,2,40,2004526,bmps,16,-0.1416995910953233,95.239,1
0.150000,10,42,1,40,1004526,bmps,16,-0.03852927862564855,95.647,1
0.050000,14,58,0,40,3926,bmps,16,0.1648053547120819,206.948,1
0.050000,14,58,1,40,1003926,bmps,16,-0.009645558695520041,207.952,1
0.110000,13,54,0,40,4426,bmps,16,-0.00895397672159485,168.695,1
0.110000,13,54,2,40,2004426,bmps,16,-0.04139726329965957,167.460,1
0.050000,14,58,2,40,2003926,bmps,16,-0.02388090660417383,211.367,1
0.110000,13,54,1,40,1004426,bmps,16,-0.3662277865502513,171.744,1
0.150000,11,46,0,40,4626,bmps,16,-0.3304117949177098,91.685,1
0.150000,11,46,1,40,1004626,bmps,16,-0.2830633342655915,91.559,1
0.150000,11,46,2,40,2004626,bmps,16,-0.1009661728461253,92.146,1
0.110000,14,58,0,40,4526,bmps,16,0.3974343073230031,177.823,1
0.110000,14,58,1,40,1004526,bmps,16,0.101797123602978,177.523,1
0.150000,12,50,0,40,4726,bmps,16,-0.19970274825599,101.243,1
0.150000,12,50,1,40,1004726,bmps,16,-0.1976606765740132,100.129,1
0.150000,12,50,2,40,2004726,bmps,16,-0.1621020339026074,100.424,1
0.110000,14,58,2,40,2004526,bmps,16,0.491572630998661,177.755,1
0.150000,13,54,1,40,1004826,bmps,16,-0.08411910061521556,105.969,1
0.150000,13,54,0,40,4826,bmps,16,-0.3186758498793864,106.943,1
0.150000,13,54,2,40,2004826,bmps,16,-0.154819181698953,99.629,1
0.150000,14,58,0,40,4926,bmps,16,-0.1587550639319687,103.191,1
0.150000,14,58,1,40,1004926,bmps,16,0.1414940883273175,97.716,1
0.150000,14,58,2,40,2004926,bmps,16,0.1376578418132465,98.441,1
